CAT,CNT,POS,NAME,CRD,ANNOUNCED2,RUNS2,4S2,6S1,6S2,S/R1,S/R2,BALLS FACED1,30/50/100_1,30/50/100_2,DUCK1,DUCK2,OVERS BOWLED1,WICK1,WICK2,LBW/BOW BONUS1,LBW/BOW BONUS2,2/3/4/5 WICK BONUS1,2/3/4/5 WICK BONUS2,MAIDEN OVER1,MAIDEN OVER2,E/R1,E/R2,CATCH1,CATCH2,CATCH BONUS1,CATCH BONUS2,RUNOUT/STUMPING1,RUNOUT/STUMPING2,TOTAL,OPPOSITE TEAM,DT
BT,BLR,6,MLR,8,4,8,0,0,0,80,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,RR,0
BW,BLR,9,HPL,8.5,4,1,0,0,0,50,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16,0,0,0,0,0,0,0,5,RR,0
BW,BLR,10,MSJ,8,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15.5,-6,0,0,0,0,0,0,-2,RR,0
WK,RR,2,JBT,10.5,4,106,10,6,12,176.67,6,60,100+,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,162,BLR,1
BW,RR,11,OMC,8,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,1,8,3,4,0,0,5.75,4,1,8,0,0,0,0,103,BLR,1
BW,RR,9,PKS,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,1,8,3,4,0,0,5.5,4,0,0,0,0,0,0,95,BLR,1
AR,RR,5,RAS,9,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,7.75,0,2,16,0,0,0,0,45,BLR,1
WK,RR,3,SSS,9,4,23,1,2,4,109.52,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,40,BLR,1
BT,RR,1,YJS,8.5,4,21,1,2,4,161.54,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,BLR,1
BW,RR,8,TBT,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,7,2,0,0,0,0,0,0,31,BLR,1
BT,RR,4,DPK,8.5,4,9,0,0,0,75.5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,BLR,0
AR,RR,7,RPG,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,12,BLR,0
BT,RR,6,SHT,8.5,4,2,0,0,0,66.67,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,BLR,0
BW,RR,10,YCL,9,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11.25,-4,0,0,0,0,0,0,0,BLR,0
AR,GT,4,HPD,9.5,4,34,3,1,2,113.33,0,30,30+,4,0,0,4,3,75,0,0,3,4,0,0,4.25,6,1,8,0,0,0,0,140,RR,1
BW,GT,8,RSK,8,4,0,0,0,0,0,0,0,0,0,0,0,2,2,50,0,0,0,0,0,0,10,-2,2,16,0,0,0,0,68,RR,1
BT,GT,2,SGL,9,4,45,3,1,2,104.65,0,43,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,RR,1
